cve,repo,commit
CVE-2018-1999011,FFmpeg,2b46ebdbff1d8dec7a3d8ea280a612b91a582869
CVE-2018-1999012,FFmpeg,9807d3976be0e92e4ece3b4b1701be894cd7c2e1
CVE-2018-1999013,FFmpeg,a7e032a277452366771951e29fd0bf2bd5c029f0
CVE-2018-1999014,FFmpeg,bab0716c7f4793ec42e05a5aa7e80d82a0dd4e75
CVE-2018-1999015,FFmpeg,5aba5b89d0b1d73164d3b81764828bb8b20ff32a
CVE-2018-6392,FFmpeg,3f621455d62e46745453568d915badd5b1e5bcd5
CVE-2018-6621,FFmpeg,118e1b0b3370dd1c0da442901b486689efd1654b
CVE-2018-6912,FFmpeg,76cc0f0f673353cd4746cd3b83838ae335e5d9ed
CVE-2018-7557,FFmpeg,7414d0bda7763f9bd69c26c068e482ab297c1c96
CVE-2018-7751,FFmpeg,a6cba062051f345e8ebfdff34aba071ed73d923f
CVE-2018-9841,FFmpeg,35eeff30caf34df835206f1c12bcf4b7c2bd6758
CVE-2019-1000016,FFmpeg,b97a4b658814b2de8b9f2a3bce491c002d34de31
CVE-2019-11338,FFmpeg,54655623a82632e7624714d7b2a3e039dc5faa7e
CVE-2019-11339,FFmpeg,1f686d023b95219db933394a7704ad9aa5f01cbb
CVE-2019-12730,FFmpeg,ed188f6dcdf0935c939ed813cf8745d50742014b
CVE-2019-17539,FFmpeg,8df6884832ec413cf032dfaa45c23b1c7876670c
CVE-2019-17542,FFmpeg,02f909dc24b1f05cfbba75077c7707b905e63cd2
CVE-2019-9718,FFmpeg,1f00c97bc3475c477f3c468cf2d924d5761d0982
CVE-2019-9721,FFmpeg,894995c41e0795c7a44f81adc4838dedc3932e65
CVE-2020-12284,FFmpeg,1812352d767ccf5431aa440123e2e260a4db2726
CVE-2020-13904,FFmpeg,9dfb19baeb86a8bb02c53a441682c6e9a6e104cc
CVE-2020-35964,FFmpeg,27a99e2c7d450fef15594671eef4465c8a166bd7
CVE-2020-35965,FFmpeg,3e5959b3457f7f1856d997261e6ac672bba49e8b
CVE-2014-9854,ImageMagick,7fb9b7e095a65b4528d0180e26574f2bc7cd0e8b
CVE-2015-8894,ImageMagick,4f68e9661518463fca523c9726bb5d940a2aa6d8
CVE-2015-8895,ImageMagick,0f6fc2d5bf8f500820c3dbcf0d23ee14f2d9f734
CVE-2015-8896,ImageMagick,0f6fc2d5bf8f500820c3dbcf0d23ee14f2d9f734
CVE-2015-8897,ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231
CVE-2015-8898,ImageMagick,5b4bebaa91849c592a8448bc353ab25a54ff8c44
CVE-2015-8900,ImageMagick,97aa7d7cfd2027f6ba7ce42caf8b798541b9cdc6
CVE-2015-8957,ImageMagick,450bd716ed3b9186dd10f9e60f630a3d9eeea2a4
CVE-2015-8958,ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f
CVE-2015-8959,ImageMagick,cc2a4d2ba5371d25c58763e4db2dbc1f4691c0f7
CVE-2016-10049,ImageMagick,13db820f5e24cd993ee554e99377fea02a904e18
CVE-2016-10050,ImageMagick,139d4323c40d7363bfdd2382c3821a6f76d69430
CVE-2016-10051,ImageMagick,548701354191a3dda5cffc6d415374b35b01d0b9
CVE-2016-10052,ImageMagick,13267a10845a8dadabed63072b537f050cec6daa
CVE-2016-10053,ImageMagick,728dc6a600cf4cbdac846964c85cc04339db8ac1
CVE-2016-10054,ImageMagick,eedd0c35bb2d8af7aa05f215689fdebd11633fa1
CVE-2016-10055,ImageMagick,eedd0c35bb2d8af7aa05f215689fdebd11633fa1
CVE-2016-10056,ImageMagick,eedd0c35bb2d8af7aa05f215689fdebd11633fa1
CVE-2016-10057,ImageMagick,eedd0c35bb2d8af7aa05f215689fdebd11633fa1
CVE-2016-10058,ImageMagick,47e8e6ceef979327614d0b8f0c76c6ecb18e09cf
CVE-2016-10060,ImageMagick,933e96f01a8c889c7bf5ffd30020e86a02a046e7
CVE-2016-10061,ImageMagick,4e914bbe371433f0590cefdf3bd5f3a5710069f9
